2019-01-26 18:47:49,350 | WARN  | Transport Connection to: tcp://128.252.20.193:46988 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:46988@1883
2019-01-26 19:47:52,225 | WARN  | Transport Connection to: tcp://128.252.20.193:49730 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:49730@1883
2019-01-26 20:47:54,412 | WARN  | Transport Connection to: tcp://128.252.20.193:47734 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:47734@1883
2019-01-26 21:47:57,397 | WARN  | Transport Connection to: tcp://128.252.20.193:53560 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:53560@1883
2019-01-26 22:47:59,959 | WARN  | Transport Connection to: tcp://128.252.20.193:42448 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:42448@1883
2019-01-26 23:48:01,428 | WARN  | Transport Connection to: tcp://128.252.20.193:56934 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:56934@1883
2019-01-27 00:48:04,678 | WARN  | Transport Connection to: tcp://128.252.20.193:56632 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:56632@1883
2019-01-27 01:48:09,740 | WARN  | Transport Connection to: tcp://128.252.20.193:32978 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:32978@1883
2019-01-27 01:53:25,365 | WARN  | Transport Connection to: tcp://128.252.20.193:52696 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:52696@1883
2019-01-27 01:54:41,334 | WARN  | Transport Connection to: tcp://128.252.20.193:50410 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://128.252.20.193:50410 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@1554ffdb[State = -1, empty queue]
2019-01-27 03:36:56,772 | WARN  | Transport Connection to: tcp://128.252.20.193:53768 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:53768@1883
2019-01-27 03:38:39,631 | WARN  | Transport Connection to: tcp://128.252.20.193:44722 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://128.252.20.193:44722 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@5cc076d2[State = -1, empty queue]
2019-01-27 03:48:36,209 | WARN  | Transport Connection to: tcp://128.252.20.193:33046 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:33046@1883
2019-01-27 03:49:07,615 | WARN  | Transport Connection to: tcp://128.252.20.193:41958 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:41958@1883
